requirement,label
The application should be good.,Low
The interface should be user friendly.,Low
The system shall allow users to export reports to PDF.,High
The application should be good.,Low
The interface should be user friendly.,Low
The application should support many users.,Low
The application shall export reports to PDF.,High
The software shall login using email and password within 2 seconds.,High
The software shall export reports to PDF within 3 seconds.,High
The system shall securely validate user input.,High
The system should be robust.,Low
The system shall securely store student records.,High
The application shall backup data daily.,High
The application shall maintain audit logs.,High
The system shall securely authenticate administrators.,High
The system should be appropriate.,Low
The system should be fast.,Low
The interface should be user friendly.,Low
The system should be flexible.,Low
The interface should be user friendly.,Low
The software shall maintain audit logs within 5 seconds.,High
The application should be good.,Low
The software should provide better performance.,Low
The system shall securely maintain audit logs.,High
The software shall generate attendance reports within 2 seconds.,High
The software shall register online within 3 seconds.,High
The system shall allow users to backup data daily.,High
The system shall allow users to authenticate administrators.,High
The application should support many users.,Low
The system should be fast.,Low
The software shall login using email and password within 2 seconds.,High
The system shall securely maintain audit logs.,High
The application shall backup data daily.,High
The software should provide better performance.,Low
The system should be robust.,Low
The application should be easy to use.,Low
The software shall login using email and password within 1 seconds.,High
The software should provide better performance.,Low
The application should be easy to use.,Low
The software shall login using email and password within 3 seconds.,High
The system shall securely encrypt user passwords.,High
The application should be easy to use.,Low
The software should provide better performance.,Low
The system should be robust.,Low
The application shall backup data daily.,High
The system shall securely login using email and password.,High
The software shall validate user input within 5 seconds.,High
The system should be appropriate.,Low
The system shall allow users to encrypt user passwords.,High
The application shall generate attendance reports.,High
The system shall allow users to register online.,High
The interface should be user friendly.,Low
The system shall securely export reports to PDF.,High
The system shall allow users to maintain audit logs.,High
The system should be flexible.,Low
The response time should be quick.,Low
The system shall securely generate attendance reports.,High
The application shall register online.,High
The system shall securely store student records.,High
The software shall generate attendance reports within 2 seconds.,High
The system shall allow users to encrypt user passwords.,High
The interface should be user friendly.,Low
The system should be robust.,Low
The software shall maintain audit logs within 3 seconds.,High
The software shall export reports to PDF within 5 seconds.,High
The system shall securely login using email and password.,High
The system shall allow users to generate attendance reports.,High
The system should be appropriate.,Low
The system shall securely authenticate administrators.,High
The system should be appropriate.,Low
The system shall allow users to generate attendance reports.,High
The system shall allow users to register online.,High
The application should support many users.,Low
The application shall backup data daily.,High
The application shall store student records.,High
The software should provide better performance.,Low
The system should be fast.,Low
The software shall export reports to PDF within 3 seconds.,High
The application shall backup data daily.,High
The system should be flexible.,Low
The application should support many users.,Low
The software shall backup data daily within 5 seconds.,High
The system should be fast.,Low
The application should be easy to use.,Low
The system shall securely login using email and password.,High
The system should be fast.,Low
The system shall allow users to authenticate administrators.,High
The system should be robust.,Low
The system should be appropriate.,Low
The application shall register online.,High
The software shall store student records within 1 seconds.,High
The system shall securely encrypt user passwords.,High
The system shall securely encrypt user passwords.,High
The system shall securely register online.,High
The application shall authenticate administrators.,High
The software shall validate user input within 1 seconds.,High
The system shall allow users to export reports to PDF.,High
The application shall validate user input.,High
The application should be easy to use.,Low
The application should support many users.,Low
The system shall securely generate attendance reports.,High
The system shall securely login using email and password.,High
The software shall encrypt user passwords within 2 seconds.,High
The interface should be user friendly.,Low
The system should be robust.,Low
The application should be good.,Low
The software shall encrypt user passwords within 2 seconds.,High
The system should be appropriate.,Low
The system shall allow users to maintain audit logs.,High
The system should be flexible.,Low
The application shall export reports to PDF.,High
The system should be appropriate.,Low
The system should be appropriate.,Low
The system shall allow users to authenticate administrators.,High
The system shall allow users to generate attendance reports.,High
The system should be robust.,Low
The application shall maintain audit logs.,High
The system shall allow users to authenticate administrators.,High
The system shall allow users to register online.,High
The system shall allow users to login using email and password.,High
The software shall authenticate administrators within 2 seconds.,High
The interface should be user friendly.,Low
The application should be good.,Low
The system shall allow users to login using email and password.,High
The software shall store student records within 2 seconds.,High
The system should be flexible.,Low
The system should be fast.,Low
The system shall allow users to encrypt user passwords.,High
The interface should be user friendly.,Low
The application shall generate attendance reports.,High
The application should support many users.,Low
The application should be good.,Low
The software shall authenticate administrators within 3 seconds.,High
The application should support many users.,Low
The software shall login using email and password within 5 seconds.,High
The application should be good.,Low
The application should support many users.,Low
The system shall securely maintain audit logs.,High
The application shall authenticate administrators.,High
The application should be easy to use.,Low
The interface should be user friendly.,Low
The application shall export reports to PDF.,High
The application shall maintain audit logs.,High
The application should support many users.,Low
The software shall login using email and password within 5 seconds.,High
The system shall securely generate attendance reports.,High
The application should be good.,Low
The application shall maintain audit logs.,High
The application should be easy to use.,Low
The system should be appropriate.,Low
The software shall maintain audit logs within 2 seconds.,High
The application should be easy to use.,Low
The system should be flexible.,Low
The system shall allow users to validate user input.,High
The application should be good.,Low
The interface should be user friendly.,Low
The system shall securely generate attendance reports.,High
The system should be flexible.,Low
The system shall allow users to login using email and password.,High
The application should support many users.,Low
The software shall login using email and password within 3 seconds.,High
The system shall allow users to store student records.,High
The system should be appropriate.,Low
The software should provide better performance.,Low
The application should be easy to use.,Low
The software should provide better performance.,Low
The system should be appropriate.,Low
The application should be good.,Low
The software shall backup data daily within 3 seconds.,High
The application shall maintain audit logs.,High
The system should be flexible.,Low
The system shall securely authenticate administrators.,High
The system should be flexible.,Low
The system shall allow users to backup data daily.,High
The software shall login using email and password within 3 seconds.,High
The system should be appropriate.,Low
The system shall allow users to register online.,High
The software should provide better performance.,Low
The software shall generate attendance reports within 1 seconds.,High
The system should be robust.,Low
The interface should be user friendly.,Low
The application should be easy to use.,Low
The software shall store student records within 5 seconds.,High
The application should be good.,Low
The system should be fast.,Low
The application should be good.,Low
The application shall backup data daily.,High
The system shall allow users to maintain audit logs.,High
The application should be easy to use.,Low
The system should be robust.,Low
The software shall export reports to PDF within 3 seconds.,High
The system shall allow users to export reports to PDF.,High
The application should be good.,Low
The software shall validate user input within 1 seconds.,High
The interface should be user friendly.,Low
The application shall maintain audit logs.,High
The system should be appropriate.,Low
The system shall allow users to login using email and password.,High
The interface should be user friendly.,Low
The application shall export reports to PDF.,High
The application should support many users.,Low
The system shall securely generate attendance reports.,High
The software shall login using email and password within 5 seconds.,High
The response time should be quick.,Low
The system should be flexible.,Low
The application shall encrypt user passwords.,High
The system shall securely register online.,High
The application should support many users.,Low
The system shall securely encrypt user passwords.,High
The system should be appropriate.,Low
The system shall allow users to authenticate administrators.,High
The application shall store student records.,High
The system shall allow users to authenticate administrators.,High
The system shall securely export reports to PDF.,High
The system should be fast.,Low
The system should be appropriate.,Low
The system shall securely validate user input.,High
The interface should be user friendly.,Low
The response time should be quick.,Low
The application should be easy to use.,Low
The application shall generate attendance reports.,High
The system should be robust.,Low
The system shall allow users to register online.,High
The application shall login using email and password.,High
The application should support many users.,Low
The application shall authenticate administrators.,High
The software shall backup data daily within 5 seconds.,High
The application shall authenticate administrators.,High
The system shall securely authenticate administrators.,High
The software shall encrypt user passwords within 3 seconds.,High
The system shall securely validate user input.,High
The system shall allow users to backup data daily.,High
The system shall securely generate attendance reports.,High
The system shall allow users to validate user input.,High
The application should support many users.,Low
The interface should be user friendly.,Low
The response time should be quick.,Low
The application should be easy to use.,Low
The application should be easy to use.,Low
The system should be robust.,Low
The software shall maintain audit logs within 1 seconds.,High
The application shall authenticate administrators.,High
The system shall allow users to validate user input.,High
The system shall securely export reports to PDF.,High
The application should support many users.,Low
The response time should be quick.,Low
The system shall allow users to backup data daily.,High
The application should support many users.,Low
The system shall securely validate user input.,High
The system should be appropriate.,Low
The application should support many users.,Low
The system should be fast.,Low
The software shall maintain audit logs within 2 seconds.,High
The application shall authenticate administrators.,High
The application shall authenticate administrators.,High
The system shall securely export reports to PDF.,High
The system shall allow users to export reports to PDF.,High
The system shall allow users to login using email and password.,High
The system shall securely validate user input.,High
The system should be fast.,Low
The system should be fast.,Low
The application shall authenticate administrators.,High
The application shall export reports to PDF.,High
The application should support many users.,Low
The system should be fast.,Low
The system should be fast.,Low
The application shall login using email and password.,High
The response time should be quick.,Low
The application should be good.,Low
The system shall securely export reports to PDF.,High
The system should be fast.,Low
The system should be appropriate.,Low
The response time should be quick.,Low
The application shall store student records.,High
The system shall allow users to maintain audit logs.,High
The response time should be quick.,Low
The system shall securely validate user input.,High
The system shall allow users to encrypt user passwords.,High
The application should support many users.,Low
The system should be flexible.,Low
The system should be flexible.,Low
The application shall store student records.,High
The system shall securely generate attendance reports.,High
The software shall login using email and password within 3 seconds.,High
The system should be fast.,Low
The system should be robust.,Low
The application should be easy to use.,Low
The application shall encrypt user passwords.,High
The software shall export reports to PDF within 2 seconds.,High
The software shall backup data daily within 2 seconds.,High
The application shall register online.,High
The software shall export reports to PDF within 3 seconds.,High
The application shall validate user input.,High
The software shall validate user input within 5 seconds.,High
The software should provide better performance.,Low
The application should be easy to use.,Low
The system should be flexible.,Low
The response time should be quick.,Low
The system should be appropriate.,Low
The system shall allow users to generate attendance reports.,High
The system should be fast.,Low
The system shall securely register online.,High
The application shall export reports to PDF.,High
The system shall allow users to store student records.,High
The application should be good.,Low
The system shall allow users to maintain audit logs.,High
The system should be robust.,Low
The system should be robust.,Low
The software shall encrypt user passwords within 1 seconds.,High
The system should be robust.,Low
The software should provide better performance.,Low
The software shall validate user input within 2 seconds.,High
The application should support many users.,Low
The response time should be quick.,Low
The application should be good.,Low
The system shall allow users to store student records.,High
The system shall securely maintain audit logs.,High
The application should support many users.,Low
The response time should be quick.,Low
The software should provide better performance.,Low
The system shall securely authenticate administrators.,High
The software should provide better performance.,Low
The system shall allow users to store student records.,High
The application should support many users.,Low
The system shall allow users to register online.,High
The application shall register online.,High
The system shall allow users to maintain audit logs.,High
The application should be good.,Low
The system should be appropriate.,Low
The system shall securely maintain audit logs.,High
The response time should be quick.,Low
The software shall maintain audit logs within 3 seconds.,High
The system shall securely store student records.,High
The system should be flexible.,Low
The response time should be quick.,Low
The application should support many users.,Low
The system shall securely generate attendance reports.,High
The response time should be quick.,Low
The software shall backup data daily within 5 seconds.,High
The application shall store student records.,High
The application shall encrypt user passwords.,High
The system should be appropriate.,Low
The software shall store student records within 2 seconds.,High
The system shall allow users to backup data daily.,High
The response time should be quick.,Low
The system shall allow users to authenticate administrators.,High
The software shall encrypt user passwords within 1 seconds.,High
The application should support many users.,Low
The system should be flexible.,Low
The system should be robust.,Low
The system should be flexible.,Low
The system shall securely authenticate administrators.,High
The software should provide better performance.,Low
The application shall backup data daily.,High
The system shall securely store student records.,High
The system shall allow users to maintain audit logs.,High
The system shall securely authenticate administrators.,High
The application should support many users.,Low
The system should be robust.,Low
The response time should be quick.,Low
The system should be appropriate.,Low
The software should provide better performance.,Low
The system shall allow users to encrypt user passwords.,High
The system shall allow users to encrypt user passwords.,High
The software should provide better performance.,Low
The interface should be user friendly.,Low
The system should be robust.,Low
The system shall allow users to register online.,High
The system shall allow users to maintain audit logs.,High
The system should be flexible.,Low
The system shall allow users to generate attendance reports.,High
The application shall register online.,High
The system shall securely login using email and password.,High
The system should be fast.,Low
The application should be easy to use.,Low
The application should be good.,Low
The system shall securely authenticate administrators.,High
The software shall maintain audit logs within 3 seconds.,High
The application should be good.,Low
The system shall securely generate attendance reports.,High
The system should be appropriate.,Low
The system shall securely store student records.,High
The application should be good.,Low
The interface should be user friendly.,Low
The system should be appropriate.,Low
The application should be easy to use.,Low
The software should provide better performance.,Low
The system should be appropriate.,Low
The system shall allow users to authenticate administrators.,High
The system should be appropriate.,Low
The response time should be quick.,Low
The system shall allow users to login using email and password.,High
The system should be appropriate.,Low
The system should be appropriate.,Low
The application shall login using email and password.,High
The system shall allow users to export reports to PDF.,High
The system shall securely register online.,High
The application should support many users.,Low
The application should be easy to use.,Low
The application shall generate attendance reports.,High
The application should support many users.,Low
The system should be fast.,Low
The response time should be quick.,Low
The application shall store student records.,High
The system shall allow users to backup data daily.,High
The response time should be quick.,Low
The system shall securely generate attendance reports.,High
The system should be robust.,Low
The application should be easy to use.,Low
The application shall export reports to PDF.,High
The application should be easy to use.,Low
The software shall login using email and password within 1 seconds.,High
The application should support many users.,Low
The system should be fast.,Low
The system should be fast.,Low
The system should be flexible.,Low
The application should be good.,Low
The software should provide better performance.,Low
The system shall securely authenticate administrators.,High
The system shall securely encrypt user passwords.,High
The software shall backup data daily within 3 seconds.,High
The system shall securely maintain audit logs.,High
The software shall backup data daily within 2 seconds.,High
The system should be robust.,Low
The application should be easy to use.,Low
The response time should be quick.,Low
The system should be robust.,Low
The response time should be quick.,Low
The application should support many users.,Low
The software shall store student records within 5 seconds.,High
The software should provide better performance.,Low
The application shall authenticate administrators.,High
The response time should be quick.,Low
The application shall register online.,High
The application should support many users.,Low
The software shall validate user input within 5 seconds.,High
The application should be good.,Low
The system should be robust.,Low
The application shall validate user input.,High
The software shall export reports to PDF within 5 seconds.,High
The system shall allow users to validate user input.,High
The system shall allow users to maintain audit logs.,High
The system should be flexible.,Low
The application shall generate attendance reports.,High
The software shall login using email and password within 2 seconds.,High
The system should be appropriate.,Low
The interface should be user friendly.,Low
The system shall allow users to login using email and password.,High
The application shall encrypt user passwords.,High
The system should be flexible.,Low
The application should be good.,Low
The system should be appropriate.,Low
The system shall allow users to register online.,High
The application should be easy to use.,Low
The response time should be quick.,Low
The software should provide better performance.,Low
The response time should be quick.,Low
The response time should be quick.,Low
The application should support many users.,Low
The application should support many users.,Low
The application shall export reports to PDF.,High
The system shall securely validate user input.,High
The application shall encrypt user passwords.,High
The system should be appropriate.,Low
The software shall authenticate administrators within 5 seconds.,High
The system shall allow users to maintain audit logs.,High
The software should provide better performance.,Low
The software shall register online within 2 seconds.,High
The application shall validate user input.,High
The application shall backup data daily.,High
The application should be easy to use.,Low
The software shall store student records within 2 seconds.,High
The application should be easy to use.,Low
The software shall encrypt user passwords within 1 seconds.,High
The interface should be user friendly.,Low
The software should provide better performance.,Low
The application should support many users.,Low
The system shall securely backup data daily.,High
The application shall login using email and password.,High
The software should provide better performance.,Low
The system shall allow users to encrypt user passwords.,High
The system should be fast.,Low
The system should be fast.,Low
The application shall export reports to PDF.,High
The application should be easy to use.,Low
The system shall securely backup data daily.,High
The interface should be user friendly.,Low
The system should be flexible.,Low
The system shall securely validate user input.,High
The system should be appropriate.,Low
The software shall backup data daily within 3 seconds.,High
The application should support many users.,Low
The system should be robust.,Low
The system shall allow users to store student records.,High
The software should provide better performance.,Low
The response time should be quick.,Low
The application shall validate user input.,High
The software shall export reports to PDF within 3 seconds.,High
The system should be fast.,Low
The application should be easy to use.,Low
The response time should be quick.,Low
The system shall allow users to backup data daily.,High
The application should be good.,Low
The response time should be quick.,Low
The system shall allow users to login using email and password.,High
The application shall backup data daily.,High
The software shall authenticate administrators within 5 seconds.,High
The software shall maintain audit logs within 3 seconds.,High
The application should be easy to use.,Low
The application shall register online.,High
The system shall allow users to encrypt user passwords.,High
The application should be good.,Low
The application shall export reports to PDF.,High
The system shall securely backup data daily.,High
The software shall backup data daily within 3 seconds.,High
The interface should be user friendly.,Low
The application should be good.,Low
The interface should be user friendly.,Low
The system shall securely login using email and password.,High
The interface should be user friendly.,Low
The system should be appropriate.,Low
The system should be flexible.,Low
The system should be flexible.,Low
The system should be fast.,Low
The system should be flexible.,Low
The response time should be quick.,Low
The system should be flexible.,Low
The application should support many users.,Low
The software should provide better performance.,Low
The interface should be user friendly.,Low
The application shall export reports to PDF.,High
The interface should be user friendly.,Low
The system should be appropriate.,Low
The system should be fast.,Low
The system should be fast.,Low
The system should be appropriate.,Low
The system shall allow users to backup data daily.,High
The application should be good.,Low
The application shall validate user input.,High
The system shall allow users to store student records.,High
The system should be appropriate.,Low
The application should support many users.,Low
The software shall login using email and password within 3 seconds.,High
The system shall allow users to login using email and password.,High
The system shall securely encrypt user passwords.,High
The software shall authenticate administrators within 3 seconds.,High
The application shall register online.,High
The application shall authenticate administrators.,High
The software shall encrypt user passwords within 3 seconds.,High
The system should be flexible.,Low
The interface should be user friendly.,Low
The software shall store student records within 1 seconds.,High
The system shall securely encrypt user passwords.,High
The application should support many users.,Low
The software shall register online within 3 seconds.,High
The application shall backup data daily.,High
The system shall securely backup data daily.,High
The application should be easy to use.,Low
The application should support many users.,Low
The application shall encrypt user passwords.,High
The system should be flexible.,Low
The system should be robust.,Low
The system shall securely maintain audit logs.,High
The system shall securely store student records.,High
The system shall allow users to validate user input.,High
The application should be easy to use.,Low
The system should be fast.,Low
The application should be easy to use.,Low
The system shall allow users to login using email and password.,High
The system should be robust.,Low
The system should be appropriate.,Low
The application should support many users.,Low
The application should be good.,Low
The application should support many users.,Low
The system should be appropriate.,Low
The application shall encrypt user passwords.,High
The interface should be user friendly.,Low
The system shall securely maintain audit logs.,High
The application should be easy to use.,Low
The system shall securely login using email and password.,High
The application should support many users.,Low
The application should be easy to use.,Low
The system should be appropriate.,Low
The system shall allow users to backup data daily.,High
The system shall securely backup data daily.,High
The application should support many users.,Low
The application should support many users.,Low
The software shall store student records within 3 seconds.,High
The application should be easy to use.,Low
The system shall allow users to encrypt user passwords.,High
The system shall allow users to generate attendance reports.,High
The system shall allow users to encrypt user passwords.,High
The system should be robust.,Low
The application should be good.,Low
The application should support many users.,Low
The application shall login using email and password.,High
The software shall register online within 5 seconds.,High
The system shall allow users to authenticate administrators.,High
The system shall allow users to register online.,High
The system shall securely encrypt user passwords.,High
The system should be flexible.,Low
The response time should be quick.,Low
The response time should be quick.,Low
The application shall authenticate administrators.,High
The system should be fast.,Low
The system shall allow users to store student records.,High
The system shall securely login using email and password.,High
The system shall allow users to backup data daily.,High
The system shall securely store student records.,High
The software shall login using email and password within 1 seconds.,High
The system shall securely generate attendance reports.,High
The software should provide better performance.,Low
The application should be easy to use.,Low
The software should provide better performance.,Low
The application shall encrypt user passwords.,High
The system shall securely generate attendance reports.,High
The software shall store student records within 1 seconds.,High
The application should be easy to use.,Low
The system should be flexible.,Low
The system should be fast.,Low
The system should be appropriate.,Low
The software shall encrypt user passwords within 1 seconds.,High
The system shall securely maintain audit logs.,High
The software shall register online within 3 seconds.,High
The system should be flexible.,Low
The software shall maintain audit logs within 2 seconds.,High
The response time should be quick.,Low
The system shall securely store student records.,High
The software shall encrypt user passwords within 3 seconds.,High
The application should be good.,Low
The application shall authenticate administrators.,High
The system shall securely maintain audit logs.,High
The system shall allow users to generate attendance reports.,High
The application shall generate attendance reports.,High
The application should be easy to use.,Low
The software shall export reports to PDF within 1 seconds.,High
The system shall allow users to login using email and password.,High
The system shall securely backup data daily.,High
The system should be appropriate.,Low
The interface should be user friendly.,Low
The application should be good.,Low
The application should be good.,Low
The application shall validate user input.,High
The application should be good.,Low
The application shall generate attendance reports.,High
The software shall login using email and password within 2 seconds.,High
The application should be good.,Low
The system shall allow users to maintain audit logs.,High
The system shall allow users to authenticate administrators.,High
The software should provide better performance.,Low
The software shall login using email and password within 2 seconds.,High
The system should be appropriate.,Low
The application should be good.,Low
The system shall securely register online.,High
The system shall allow users to export reports to PDF.,High
The system should be appropriate.,Low
The system shall securely validate user input.,High
The software shall authenticate administrators within 3 seconds.,High
The application should be good.,Low
The system should be flexible.,Low
The interface should be user friendly.,Low
The application should be good.,Low
The software shall export reports to PDF within 3 seconds.,High
The software should provide better performance.,Low
The system should be flexible.,Low
The system shall securely generate attendance reports.,High
The system should be appropriate.,Low
The system shall allow users to backup data daily.,High
The system shall allow users to backup data daily.,High
The system should be fast.,Low
The application should support many users.,Low
The system should be robust.,Low
The software shall maintain audit logs within 3 seconds.,High
The response time should be quick.,Low
The system shall securely generate attendance reports.,High
The application shall login using email and password.,High
The system should be flexible.,Low
The system should be robust.,Low
The system should be flexible.,Low
The system shall allow users to encrypt user passwords.,High
The interface should be user friendly.,Low
The software shall register online within 5 seconds.,High
The interface should be user friendly.,Low
The system should be robust.,Low
The application should be good.,Low
The application shall register online.,High
The system shall allow users to register online.,High
The response time should be quick.,Low
The application shall validate user input.,High
The system shall allow users to authenticate administrators.,High
The system should be appropriate.,Low
The system shall allow users to validate user input.,High
The system shall securely export reports to PDF.,High
The response time should be quick.,Low
The system shall allow users to export reports to PDF.,High
The software should provide better performance.,Low
The application shall login using email and password.,High
The system should be fast.,Low
The software should provide better performance.,Low
The system shall allow users to backup data daily.,High
The system shall securely login using email and password.,High
The response time should be quick.,Low
The system shall securely register online.,High
The system should be robust.,Low
The system shall allow users to encrypt user passwords.,High
The software shall generate attendance reports within 5 seconds.,High
The application should be easy to use.,Low
The system shall allow users to export reports to PDF.,High
The software shall backup data daily within 3 seconds.,High
The system shall allow users to store student records.,High
The system shall securely store student records.,High
The system should be robust.,Low
The system should be appropriate.,Low
The application should support many users.,Low
The system should be robust.,Low
The application should be easy to use.,Low
The application shall backup data daily.,High
The software should provide better performance.,Low
The software should provide better performance.,Low
The system shall allow users to generate attendance reports.,High
The system shall allow users to encrypt user passwords.,High
The response time should be quick.,Low
The system shall allow users to generate attendance reports.,High
The software should provide better performance.,Low
The system shall securely store student records.,High
The system should be flexible.,Low
The system shall securely login using email and password.,High
The application should support many users.,Low
The system shall securely validate user input.,High
The software should provide better performance.,Low
The application should be good.,Low
The application should support many users.,Low
The system should be flexible.,Low
The application shall export reports to PDF.,High
The system shall allow users to store student records.,High
The system shall securely export reports to PDF.,High
The system should be flexible.,Low
The interface should be user friendly.,Low
The system should be flexible.,Low
The system should be appropriate.,Low
The application shall store student records.,High
The system shall allow users to encrypt user passwords.,High
The system shall allow users to maintain audit logs.,High
The system shall allow users to login using email and password.,High
The response time should be quick.,Low
The software shall validate user input within 3 seconds.,High
The response time should be quick.,Low
The system shall securely export reports to PDF.,High
The system shall allow users to login using email and password.,High
The system should be robust.,Low
The application shall encrypt user passwords.,High
The system shall securely encrypt user passwords.,High
The system shall securely authenticate administrators.,High
The application shall maintain audit logs.,High
The system shall securely authenticate administrators.,High
The software shall validate user input within 3 seconds.,High
The system should be appropriate.,Low
The system shall allow users to validate user input.,High
The software should provide better performance.,Low
The system should be robust.,Low
The application should be easy to use.,Low
The system should be robust.,Low
The application shall export reports to PDF.,High
The application should be good.,Low
The application should support many users.,Low
The system shall allow users to authenticate administrators.,High
The application should support many users.,Low
The application shall generate attendance reports.,High
The system should be flexible.,Low
The application should be good.,Low
The system shall allow users to validate user input.,High
The system shall allow users to store student records.,High
The system should be fast.,Low
The system should be flexible.,Low
The system shall allow users to backup data daily.,High
The system shall allow users to login using email and password.,High
The system shall allow users to generate attendance reports.,High
The system shall allow users to backup data daily.,High
The application should be good.,Low
The response time should be quick.,Low
The software shall register online within 3 seconds.,High
The software shall login using email and password within 1 seconds.,High
The software shall authenticate administrators within 2 seconds.,High
The application shall register online.,High
The response time should be quick.,Low
The application should be easy to use.,Low
The response time should be quick.,Low
The software should provide better performance.,Low
The application should support many users.,Low
The software shall validate user input within 5 seconds.,High
The application shall export reports to PDF.,High
The application shall generate attendance reports.,High
The software shall register online within 2 seconds.,High
The system shall allow users to authenticate administrators.,High
The software shall validate user input within 5 seconds.,High
The system should be appropriate.,Low
The system should be fast.,Low
The system shall allow users to login using email and password.,High
The interface should be user friendly.,Low
The interface should be user friendly.,Low
The application shall validate user input.,High
The system shall allow users to login using email and password.,High
The software shall backup data daily within 3 seconds.,High
The application should support many users.,Low
The software shall encrypt user passwords within 3 seconds.,High
The system shall securely register online.,High
The system shall securely store student records.,High
The system shall securely authenticate administrators.,High
The software should provide better performance.,Low
The system shall securely register online.,High
The system should be flexible.,Low
The system should be fast.,Low
The application should be good.,Low
The system should be robust.,Low
The system should be appropriate.,Low
The system should be robust.,Low
The application shall encrypt user passwords.,High
The interface should be user friendly.,Low
The system shall securely validate user input.,High
The response time should be quick.,Low
The system shall securely login using email and password.,High
The response time should be quick.,Low
The software shall backup data daily within 1 seconds.,High
The application should be easy to use.,Low
The application shall backup data daily.,High
The application should support many users.,Low
The system should be fast.,Low
The system should be robust.,Low
The response time should be quick.,Low
The system shall securely generate attendance reports.,High
The application shall authenticate administrators.,High
The application shall register online.,High
The software shall generate attendance reports within 3 seconds.,High
The system shall securely login using email and password.,High
The system should be flexible.,Low
The system should be robust.,Low
The software shall maintain audit logs within 5 seconds.,High
The application shall export reports to PDF.,High
The software shall export reports to PDF within 2 seconds.,High
The system should be appropriate.,Low
The application shall backup data daily.,High
The application should support many users.,Low
The system shall securely backup data daily.,High
The response time should be quick.,Low
The software shall encrypt user passwords within 2 seconds.,High
The system shall allow users to login using email and password.,High
The response time should be quick.,Low
The response time should be quick.,Low
The application should be easy to use.,Low
The system shall allow users to authenticate administrators.,High
The application should be good.,Low
The software shall register online within 5 seconds.,High
The system shall securely backup data daily.,High
The software shall store student records within 1 seconds.,High
The system shall allow users to store student records.,High
The software shall register online within 5 seconds.,High
The software should provide better performance.,Low
The system shall securely register online.,High
The software shall backup data daily within 5 seconds.,High
The application shall validate user input.,High
The system shall allow users to login using email and password.,High
The application should be easy to use.,Low
The software shall login using email and password within 3 seconds.,High
The application shall export reports to PDF.,High
The system shall allow users to backup data daily.,High
The system shall securely store student records.,High
The system shall allow users to store student records.,High
The interface should be user friendly.,Low
The application shall login using email and password.,High
The system shall allow users to validate user input.,High
The system shall securely backup data daily.,High
The application shall login using email and password.,High
The application should support many users.,Low
The software shall generate attendance reports within 2 seconds.,High
The software should provide better performance.,Low
The system shall securely validate user input.,High
The application should be good.,Low
The software shall backup data daily within 1 seconds.,High
The application shall backup data daily.,High
The software shall maintain audit logs within 3 seconds.,High
The software shall maintain audit logs within 1 seconds.,High
The software shall maintain audit logs within 1 seconds.,High
The system shall allow users to validate user input.,High
The response time should be quick.,Low
The interface should be user friendly.,Low
The system shall allow users to generate attendance reports.,High
The interface should be user friendly.,Low
The application should be good.,Low
The system should be fast.,Low
The system should be fast.,Low
The application shall register online.,High
The application shall validate user input.,High
The application should be easy to use.,Low
The application should be easy to use.,Low
The system should be robust.,Low
The software shall register online within 3 seconds.,High
The software shall authenticate administrators within 2 seconds.,High
The system shall securely authenticate administrators.,High
The system shall allow users to export reports to PDF.,High
The system should be robust.,Low
The system should be appropriate.,Low
The application should be easy to use.,Low
The software shall register online within 5 seconds.,High
The system shall allow users to register online.,High
The system shall allow users to export reports to PDF.,High
The system shall allow users to validate user input.,High
The software shall export reports to PDF within 5 seconds.,High
The application shall login using email and password.,High
The software shall export reports to PDF within 1 seconds.,High
The system shall allow users to authenticate administrators.,High
The application should support many users.,Low
The system should be fast.,Low
The application shall store student records.,High
The application shall encrypt user passwords.,High
The response time should be quick.,Low
